ids,questions
598,"Qual é o procedimento para um servidor da USP reassumir o exercício após desistir de uma licença e qual a condição para gozar da parte restante da licença?"
644,"Quantos candidatos por vaga são convocados para a seleção na primeira etapa do processo de transferência para a maioria dos cursos na USP, e qual é a exceção mencionada?"
1261,"Quais são as principais funções da Comissão de Inclusão e Pertencimento da Faculdade de Odontologia de Bauru conforme estabelecido pela USP?"
581,"Quem é designado como pregoeiro nas licitações na modalidade pregão na USP e quais são suas principais atribuições?"
615,"Quando acontecerá anualmente o Festival de Arte e Cultura na Universidade de São Paulo (USP) e quem será responsável pela sua coordenação?"
32,"Quem é responsável por decidir sobre a distinção entre disciplinas distintas na USP, baseando-se em propostas dos Departamentos?"
1102,"Quais são as responsabilidades do Conselho Diretor (CD) em relação à aprovação de regimentos e modificações no Instituto de Estudos Avançados da USP?"
33,"Quais são as responsabilidades do Reitor da Universidade de São Paulo conforme o estatuto da instituição?"
1345,"Quais são os passos necessários para a divulgação dos procedimentos de avaliação de equivalência após sua aprovação pelo Conselho de Graduação na USP?"
1254,"Qual é o objetivo do Programa USP de Incentivo a Centros de Pesquisa e Inovação Especiais (CEPIx) criado pela Universidade de São Paulo?"
1549,"Quais são os critérios para a composição da representação docente na Congregação da ESALQ segundo o regulamento da USP?"
1511,"Quais são as principais responsabilidades dos Procuradores Chefes na Universidade de São Paulo conforme a normativa vigente?"
873,"Quantos créditos são exigidos para a conclusão do curso de doutorado direto na USP, e como eles se distribuem entre disciplinas e preparo da tese?"
822,"Quais são os critérios para o credenciamento ou recredenciamento de um orientador na USP, seja da academia ou da empresa?"
1208,"Quais são as responsabilidades do Coordenador relacionadas à promoção de atividades e interações dentro e fora da Universidade de São Paulo, conforme descrito em um regulamento da USP?"
1104,"Quais são as responsabilidades da Comissão de Relações Internacionais (CRint) na Universidade de São Paulo?"
1027,"Quais são os critérios adicionais considerados para o recredenciamento pleno de docentes no Programa de pós-graduação em Meios e Processos Audiovisuais na USP?"
1373,"Como são definidos os programas dos concursos para professores na Universidade de São Paulo, e qual órgão é responsável por sua aprovação?"
916,"Quais são os critérios necessários para o credenciamento de um orientador externo em um programa de pós-graduação na USP?"
894,"Quais são os critérios mínimos para o credenciamento pleno de um orientador de mestrado no Programa de Pós-graduação em Design na USP?"
774,"Quais são os critérios utilizados na avaliação do projeto de pesquisa e do currículo na primeira etapa do processo de seleção para o doutorado na área de Educação na USP?"
1379,"Os professores visitantes e colaboradores podem votar ou ser votados nos Colegiados da Universidade de São Paulo?"
1020,"Quais são os requisitos para a submissão de dissertações ou teses na Universidade de São Paulo?"
1579,"Qual é o requisito mínimo de formação para um coorientador de Pós-Graduação na USP, e em que condições excepcionais pode-se aprovar um coorientador sem esse requisito?"
1610,"Quais são as finalidades da Faculdade de Direito segundo o seu regulamento?"
883,"Quais são os exames de proficiência em língua inglesa aceitos para matrícula nos programas de mestrado e doutorado na USP e quais os níveis mínimos exigidos pelo CEFR para cada um desses programas?"
607,"Quais são as principais responsabilidades do Conselho de Cultura e Extensão Universitária da USP?"
1599,"Quais são os critérios de composição e mandato para os membros da Comissão de Relações Internacionais (CRInt) da Faculdade de Zootecnia e Engenharia de Alimentos (FZEA) da USP?"
1436,"Qual é a nota mínima que um candidato deve obter na prova escrita para não ser eliminado em um concurso de duas fases na USP?"
1093,"Quais são os objetivos institucionais do Museu de Arte Contemporânea (MAC) da Universidade de São Paulo?"
1491,"Qual é o mandato do presidente e do suplente eleitos pela Comissão de Pós-Graduação (CPG) da USP de Bauru, e é permitida a recondução para esses cargos?"
1468,"Como é feita a admissão de Auxiliares de Ensino e Assistentes na Escola Politécnica da USP e quais são os critérios para sua seleção?"
691,"Quantos créditos em disciplinas um aluno de Mestrado precisa completar para obter o título na USP e qual a porcentagem desses créditos que deve ser realizada dentro do Programa de Pós-Graduação em Entomologia?"
1103,"Quais são os critérios para a composição da Comissão Eleitoral responsável pelo processo eleitoral de dirigentes em um instituto da USP, conforme o regulamento?"
766,"Quais são os critérios necessários para o credenciamento pleno de um docente como orientador no programa de pós-graduação, segundo as normas da USP?"
783,"Qual é o prazo máximo para candidatos aos Cursos de Mestrado na USP demonstrarem proficiência em Língua Inglesa após a matrícula?"
916,"Quais são os critérios necessários para o credenciamento de um orientador externo em um programa de pós-graduação na USP?"
879,"Qual é o prazo máximo para um aluno de Mestrado se inscrever no processo seletivo de ingresso para Doutorado Direto, caso deseje mudar de curso na USP?"
1576,"Quais são os critérios para a concessão de prorrogação de prazo para depósito da Dissertação ou Tese na USP?"
1405,"Qual é a composição da Comissão de Pesquisa da Universidade de São Paulo  e qual é o mandato dos seus membros?"
1417,"Quais são as atividades de responsabilidade exclusiva do docente que um aluno monitor está terminantemente proibido de realizar na USP?"
1580,"Quais são os critérios para a composição da comissão julgadora de dissertações e teses na USP, incluindo as exceções e restrições?"
1498,"Quais são os critérios para a composição da Comissão de Pesquisa e Inovação na USP?"
859,"Quais são os critérios de proficiência em língua inglesa exigidos para alunos de mestrado na USP, incluindo as pontuações mínimas nos testes TOEFL, IELTS, CAMBRIDGE, TOEIC e MICHIGAN?"
1603,"Qual é a duração do mandato dos representantes docentes na Comissão de Cultura e Extensão Universitária (CCEx) da USP e é permitida a recondução?"
1090,"Qual é a frequência das reuniões ordinárias do Conselho Deliberativo (CD) e como são convocadas as reuniões extraordinárias e ordinárias?"
925,"Qual é a nota mínima que os candidatos devem obter em ambas as fases do processo seletivo para serem aceitos no Programa de Mestrado ou Doutorado na USP?"
165,"Quais são as causas que podem levar à cessação de uma bolsa de pós-doutorado na Universidade de São Paulo conforme a Portaria mencionada?"
953,"Qual é a língua estrangeira obrigatória para os pós-graduandos de um determinado programa na USP e quais são os critérios para comprovar a proficiência nesta língua?"
68,"Quais são as consequências para os alunos que não confirmarem ou não comparecerem às entrevistas da segunda fase do processo seletivo na Escola Politécnica da USP?"
603,"Como é determinada a correspondência entre os cargos e funções dos servidores optantes e as modalidades e classes de funções autárquicas na USP?"
1353,"Quais são as responsabilidades atribuídas aos Departamentos da Universidade de São Paulo conforme o regulamento institucional?"
1363,"Quais são as competências atribuídas à Superintendência de Tecnologia da Informação (STI) da Universidade de São Paulo?"
610,"Quais são os requisitos mínimos para admissão aos cursos de graduação na Universidade de São Paulo (USP)?"
1604,"Como são estabelecidos os concursos para provimento de cargos e acesso à função da carreira na USP, e quais documentos regulamentam esses processos?"
858,"Qual é a nota mínima necessária para um candidato ser considerado aprovado em um processo de seleção na USP?"
1116,"Quais são os principais objetivos da Pró-Reitoria de Inclusão e Pertencimento (PRIP) na Universidade de São Paulo?"
612,"Qual é o prazo estabelecido para os Conselhos Centrais da USP elaborarem e submeterem seus Regimentos ao Conselho Universitário, e quais normas devem ser fixadas em seus Regimentos?"
1329,"Quem tem a responsabilidade de convocar ordinariamente as reuniões do Conselho Gestor na USP e sob quais condições membros do Conselho podem solicitar a convocação de uma reunião?"
1483,"Como é determinado o programa do concurso para inscrição em disciplinas na USP e quem é responsável por sua aprovação?"
4,"Qual decreto removeu dispositivos do Estatuto e do Regimento Geral da Universidade de São Paulo relacionados à possibilidade de matrícula em mais de um curso e em que data foi publicado?" 
686,"Qual é o prazo estabelecido para o credenciamento de coorientadores no curso de mestrado na USP?"
644,"O que acontece se um candidato desrespeitar as normas do Exame de Transferência Externa USP 2024/2025 ou não seguir as instruções do Manual da Transferência 2024/2025?"
861,"Qual é o número máximo de estudantes de pós-graduação que um solicitante de credenciamento específico pode orientar simultaneamente na USP?"
820,"Quais são as formas aceitas para comprovar proficiência em língua inglesa para inscrição em processo seletivo na USP, e existe alguma condição especial para estrangeiros cuja língua nativa é o inglês?"
1628,"Qual é o prazo para a inscrição prévia de candidaturas à Presidência e à Vice-Presidência da Comissão de Pesquisa e Inovação da USP, e o que acontece se não houver ao menos duas inscrições dentro desse prazo?"
1256,"Quem são os responsáveis por fazer propostas ao Comitê Gestor do RCGI e implementar suas decisões na Universidade de São Paulo?"
749,"Quais são os critérios mínimos exigidos para o credenciamento específico de orientadores de mestrado na USP?"
603,"Como é formada a Comissão Permanente responsável por opinar sobre modificações no Estatuto da Universidade de São Paulo e quem tem a autoridade para designar seus membros?"
1262,"Quais são as responsabilidades da CoC em relação ao projeto político pedagógico de um curso na USP, conforme as normas recentemente atualizadas?"
1574,"Quem é responsável por homologar e divulgar a relação dos candidatos selecionados para ingresso na Pós-Graduação na USP?"
704,"Quais são as condições sob as quais um aluno pode ser desligado de um programa de pós-graduação na Universidade de São Paulo?"
1614,"Quantos dias de prazo são dados para as inscrições do concurso à livre-docência na USP?"
1442,"Quais são os critérios para a admissão de Auxiliares de Ensino e Assistentes na Universidade de São Paulo?"
1607,"Quais são os critérios para a eleição do presidente e vice-presidente da Comissão de Pesquisa e Inovação (CPqI) da USP, e como é determinado o número de representantes docentes de cada departamento nesta comissão?"
40,"Quais são as responsabilidades do Diretor Presidente da EDUSP em relação às atividades editoriais e livreiras na Universidade de São Paulo?"
1591,"Quais são os critérios para o recrutamento de alunos monitores na USP, conforme as normas mais recentes?"
1590,"Quais são os pesos atribuídos às provas no concurso para professor titular na Universidade de São Paulo conforme a última regulamentação?"
1434,"Quem são os membros do Conselho do Departamento na USP e como são escolhidos?"
1345,"Quais são os critérios para a revalidação de diplomas de graduação expedidos por instituições de ensino superior estrangeiras pela Universidade de São Paulo?"
1407,"Quais são as etapas do concurso para o cargo de Professor Doutor na USP e quais são os pesos atribuídos a cada uma delas?"
172,"Quais são os critérios para a seleção de bolsistas para o programa de pós-doutorado na Faculdade de Direito da USP?"
925,"Quantas unidades de crédito um estudante de Mestrado deve integralizar para a elaboração da dissertação na USP e quantas para disciplinas?"
787,"Quais são os documentos necessários que devem ser inseridos no Sistema Janus de depósito digital para o depósito do exemplar da Dissertação ou Tese na USP?"
1394,"Qual é o mandato dos membros da representação discente no Conselho de um Departamento da Universidade de São Paulo e é possível a recondução para novos mandatos?"
1461,"Qual é a duração de uma monitoria na Universidade de São Paulo e quantas vezes um aluno pode ser reconduzido a essa função por semestre?"
691,"Quantos créditos especiais um aluno da Universidade de São Paulo pode receber por participar do Programa de Aperfeiçoamento do Ensino (PAE)?"
896,"Quantos exemplares em formato PDF de uma dissertação de Mestrado devem ser depositados na USP, e em que circunstâncias são necessários exemplares impressos adicionais?"
1254,"Quais são os critérios para que os CEPIDs da FAPESP sediados na USP sejam elegíveis para os benefícios previstos na resolução mencionada?"
1361,"Quais são os requisitos necessários para uma entidade se associar à Universidade de São Paulo (USP) e como é feita a avaliação dessa associação?"
907,"Qual é a duração máxima permitida para a exposição oral de um aluno sobre seu projeto de pesquisa durante o processo de avaliação na USP?"
1117,"Quantas vezes por ano o Conselho de Inclusão e Pertencimento (CoIP) da USP realiza reuniões ordinárias e sob quais condições são convocadas reuniões extraordinárias?"
66,"Como são criados e providos os cargos na Universidade de São Paulo e nos Institutos que dela fazem parte?"
978,"Quais são os critérios para a produção intelectual exigidos para o credenciamento de orientadores no Programa, e como é avaliada a qualidade dessa produção?"
1525,"Quais são as responsabilidades do CoCEx em relação às atividades de cultura e extensão universitária na USP?"
965,"Quantas vezes por ano o comitê deve se reunir com o candidato durante sua permanência no Programa de Pós-Graduação (PPG) da USP e qual é a obrigatoriedade relacionada à primeira reunião?"
985,"Qual é o número mínimo e máximo de alunos que um docente deve orientar como orientador específico do Programa de Pós-Graduação da USP, conforme as normas de credenciamento?"
1151,"Quais são as funções e atividades de natureza museológica que devem ser organicamente incluídas no corpo técnico de um museu, segundo a normativa da USP?"
933,"Quais são os critérios avaliados no Exame de Qualificação de pós-graduação na USP?"
1589,"Quais são as principais responsabilidades da Comissão da Biblioteca no Instituto de Ciências Matemáticas e de Computação (ICMC) da USP?"
289,"Quais são os grupos de trabalho que compõem a Comissão mencionada na norma da USP e qual é a estrutura de coordenação desses grupos?"
1529,"Qual é a porcentagem da representação discente em relação à representação docente nas Comissões de Coordenação de Curso (CoC) e na Comissão de Pós-Graduação (CPG) da Faculdade de Odontologia de Bauru da USP, e qual é a duração do mandato dos representantes discentes nessas comissões?"
1282,"Quais são as autoridades competentes para aplicar as sanções de advertência, multas e impedimento de licitar e contratar com órgãos e entidades da Administração do Estado de São Paulo na USP, e quem é responsável pela declaração de inidoneidade para licitar ou contratar com a Administração Pública direta e indireta de todos os entes federativos?"
835,"Qual é o procedimento para o depósito digital de teses e dissertações pelos alunos de mestrado e doutorado na Universidade de São Paulo?"
8,"Quais são as responsabilidades do Conselho de Reitores das Universidades Estaduais Paulistas conforme estabelecido pelo decreto governamental de 2 de fevereiro de 1989?"
1446,"Quais são os objetivos dos cursos oferecidos pela Faculdade de Filosofia, Letras e Ciências Humanas da USP?"
1345,"Quais critérios a Comissão de Graduação da USP utiliza para avaliar a compatibilidade entre as formações acadêmicas durante o processo de revalidação de diplomas estrangeiros?"
1273,"Quais são as comissões que podem assessorar a Congregação em suas deliberações, conforme estabelecido no regulamento da USP?"
593,"Quais são as condições sob as quais um servidor da Universidade de São Paulo pode ser dispensado do registro de ponto, de acordo com as normas institucionais?"
1393,"Quais são as responsabilidades do Conselho Técnico-Administrativo em relação às aulas na Universidade de São Paulo?"
1220,"Como são organizadas as Comissões Julgadoras dos concursos para provimento de cargos de professor doutor, professor titular e para a obtenção do título de livre-docente na USP?"
741,"Qual é o prazo máximo para o depósito da dissertação de Mestrado na USP e em que condições pode ser solicitada uma prorrogação desse prazo?"
701,"Quais são os critérios de avaliação para candidatos ao Doutorado Direto na USP, incluindo os requisitos mínimos relacionados a projetos de iniciação científica, apresentações em congressos e publicações em periódicos?"
532,"Quais departamentos da USP têm a possibilidade de ter a competência de assinar termos de adesão a serviço voluntário e seus eventuais termos aditivos de prorrogação delegada pelo Coordenador de Administração Geral?"
53,"Como é decidido um empate entre examinadores no julgamento de um concurso para Professor Titular na USP?"
1241,"Quais são os critérios de composição e mandato para os membros da Comissão de Inclusão e Pertencimento do Instituto de Química da USP?"
707,"Quais são os documentos necessários para acompanhar o depósito de uma tese de doutorado na USP?"
1480,"Quais são as competências da Comissão de Inclusão e Pertencimento (CIP) na Universidade de São Paulo?"
10,"Quais são as cadeiras oferecidas pelo Instituto de Educação da USP conforme descrito na seção VI do regulamento?"
1347,"Quais são as instituições que compõem o Quadrilátero Saúde/Direito na Universidade de São Paulo?"
827,"Como deve ser feito o depósito do exemplar eletrônico de dissertações ou teses na USP e quem deve validar essa submissão?"
725,"Quais são os requisitos para que um aluno do Mestrado Profissional USP-IDPC possa se inscrever no Exame de Qualificação (EQ)?"
30,"Quais são as principais fontes de receita da Universidade de São Paulo conforme seu regulamento?"
877,"Quantos membros titulares e suplentes compõem a Comissão Coordenadora de Programa (CCP) do Programa de Pós-Graduação em Ecologia da USP, e qual é a exigência em relação ao coordenador e seu suplente?"
1029,"Qual é o prazo máximo para a entrega das versões corrigidas da Dissertação ou da Tese em formato digital após a defesa na ECA-USP?"
844,"Quais são os critérios necessários para que o trabalho final nos cursos de Mestrado e Doutorado na USP possa ser apresentado na forma de compilação de artigos?"
1471,"Quais são as responsabilidades da Seção de Livraria Virtual da EDUSP?"
1612,"Quais são os objetivos principais das ações de inclusão e diversidade propostas pela Universidade de São Paulo para sua comunidade acadêmica?"
657,"Qual é a duração da prova para candidatos a Doutorado em Língua Espanhola ou Estudos da Tradução na USP e em que idioma ela deve ser realizada?"
969,"Quais são os requisitos para o conteúdo do Relatório de Qualificação exigido para o Exame de Qualificação na USP?"
1102,"Quais são as principais atividades promovidas pelo Instituto de Energia e Ambiente (IEE) da USP para o desenvolvimento de suas funções, conforme estabelecido em seu regimento?"
51,"Quem é responsável pela elaboração dos projetos de extensão de serviços à comunidade na USP e como são aprovados esses projetos?"
737,"Quais são os requisitos necessários para se inscrever no Doutorado em Saúde Global e Sustentabilidade na USP e quais documentos são exigidos para a inscrição?"
839,"Quais são os documentos necessários para o depósito digital de uma dissertação ou tese na USP conforme o sistema Janus?"
839,"Quais são os critérios para o credenciamento específico de orientadores na USP que desejam orientar alunos de iniciação científica nas áreas de Química e Educação?"
928,"Quais são os requisitos para a apresentação de Dissertações e Teses na USP conforme o Regimento de Pós-Graduação?"
636,"Quais são as prioridades de alocação de vagas para candidatos do ENEM-USP 2024 na Universidade de São Paulo, e como são realocadas as vagas remanescentes?"
621,"Quais são as condições sob as quais o NACE pode ser desativado na Universidade de São Paulo?"
749,"Quais são os critérios necessários para o credenciamento de um professor para orientar Doutorados e Doutorado Direto na USP?"
994,"Quais são os critérios para o credenciamento ou recredenciamento de um orientador na USP?"
1598,"Quem representa a FZEA junto ao Conselho de Pesquisa e Inovação da USP, e o que acontece em caso de vacância dessa posição?"
814,"Quais são os documentos necessários para a inscrição no processo seletivo de mestrado na USP conforme o regulamento?"
1572,"Quantas vezes o CoPGr e as Câmaras da USP se reúnem ordinariamente durante um semestre letivo, e como são convocadas essas reuniões?"
1306,"Qual é o prazo mínimo de antecedência com que deve ser publicado o edital de convocação para a eleição do Chefe do Departamento e do Vice-Chefe na USP?"
1537,"Quem são os membros obrigatórios do Conselho do Departamento na Universidade de São Paulo conforme o estatuto?"
1120,"Em um processo seletivo da USP, o que acontece se não houver candidatos habilitados com título de Mestre para a segunda etapa de avaliações ou se nenhum dos habilitados atender à convocação para contratação?"
927,"Quais são os critérios de credenciamento para orientadores plenos em um programa de pós-graduação na USP?"
582,"Quais são as responsabilidades do gestor de contrato conforme definido na Portaria da USP?"
630,"No Concurso Vestibular FUVEST 2024, o que acontece com um candidato que foi convocado para sua primeira opção de curso e como ele deve proceder em relação à matrícula?"
749,"Quais são os critérios necessários para o credenciamento de um professor para orientar Doutorados e Doutorado Direto na USP?"
76,"Quais são as consequências para os servidores que não apresentarem a Declaração de Quitação ou comprovante equivalente do pagamento das mensalidades do plano de saúde no contexto do Auxílio-Saúde da USP?"
43,"Quais são as finalidades da Coordenadoria da Saúde e Assistência Social (COSEAS) na Universidade de São Paulo?"
990,"Qual é a diferença entre o credenciamento pleno e o credenciamento específico de orientadores na USP?"
1275,"Qual é o prazo mínimo e máximo para as inscrições nos concursos de Professor Doutor na USP e quem aprova a abertura dessas inscrições?"
1110,"Quais são as competências das Comissões de Graduação, Pós-Graduação, Pesquisa, Cultura e Extensão Universitária na Universidade de São Paulo?"
611,"Quem constitui o corpo discente da Universidade de São Paulo (USP)?"
1570,"Como um docente pode participar de núcleos de apoio sediados em outra Unidade da USP?"
1612,"Quais são os objetivos principais das ações de inclusão e diversidade propostas pela Universidade de São Paulo?"
1545,"Qual é a duração do mandato dos membros docentes, exceto o presidente e o vice-presidente, nas Comissões de Graduação, Pesquisa e Inovação, de Cultura e Extensão Universitária, e de Inclusão e Pertencimento na USP, e é permitida a recondução?"
21,"Quais são os órgãos que compõem a Reitoria da Universidade de São Paulo e suas respectivas subdivisões conforme descrito nos regulamentos?"
1547,"Quais são as principais atividades técnicas executadas pelo Serviço de Museologia (SM) da Universidade de São Paulo?"
72,"Quais são as etapas do processo seletivo realizado pela Escola Politécnica da USP e quais unidades são responsáveis por cada uma delas?"
1335,"Quais são os programas de Residência Médica oferecidos pela Universidade de São Paulo mencionados na resolução?"
704,"Quais são as condições sob as quais um aluno pode ser desligado de um programa de pós-graduação na Universidade de São Paulo?"
864,"Quantos membros titulares e suplentes compõem a Comissão Coordenadora do Programa (CCP) do Programa de Pós-Graduação em História Social da FFLCH, e qual é a duração de seus mandatos?"
21,"Quem substitui o Reitor da USP em seus impedimentos e sucede-o em caso de vaga até novo provimento?"
1093,"Quais são os objetivos institucionais do Museu de Arte Contemporânea (MAC) da Universidade de São Paulo?"
675,"Quais são os requisitos necessários para a inscrição de um estudante no exame de qualificação de Mestrado na USP, conforme descrito nas normas do programa?"
867,"Quais são os elementos obrigatórios que devem constar na capa e contracapa de uma dissertação de Mestrado na USP?"
1461,"Quais são os procedimentos necessários para a criação de Centros ou Núcleos dentro de uma Unidade ou Departamento na USP, e quais órgãos devem aprovar seus regimentos?"
1579,"Quais são os critérios para o credenciamento e recredenciamento de orientadores na USP e onde podem ser encontrados?"
596,"Quando um servidor da USP começa a receber o salário-família em relação à esposa e a cada dependente, e quando esse benefício é cessado?"
761,"Quais são os elementos que devem constar na estrutura de uma dissertação de mestrado na USP, conforme as diretrizes do Sistema Integrado de Bibliotecas (SIBi) USP?"
1512,"Qual mudança ocorreu na função de Procurador Chefe na USP conforme a nova regulamentação?"
1559,"Quais são as modalidades possíveis para a realização de uma prova prática em um concurso na USP, conforme o regulamento?"
52,"Quais são os critérios de julgamento para um concurso de Professor Assistente na USP, conforme estabelecido nas normas?"
638,"Se um candidato do Processo Seletivo ENEM-USP 2024, inicialmente matriculado na condição [M], não for convocado para remanejamento até a 2ª Chamada, qual será a alteração automática de sua condição de matrícula?"
45,"Quem pode ser designado pelo Diretor para auxiliá-lo no desempenho de suas atribuições na Universidade de São Paulo?"
580,"Qual é o objetivo do princípio da segregação de funções na designação de agentes públicos, conforme estabelecido pela Universidade de São Paulo?" 
741,"Quais são as modalidades de inscrição oferecidas pelo PPGCOM USP em seus processos seletivos para alunos regulares?"
1585,"Quais são as atribuições do Diretor do ICMC segundo o regimento interno, incluindo as alterações feitas pela Resolução 8503/2023?"
1349,"Quais são os membros que compõem os Conselhos Centrais na Universidade de São Paulo, conforme as normas estabelecidas?"
1107,"Quantas vezes por ano o Conselho Deliberativo da USP deve se reunir ordinariamente, e qual é o intervalo máximo permitido entre essas reuniões?"
900,"Quais são os critérios para o credenciamento ou recredenciamento de um orientador ou coorientador na USP?"
1151,"Quais são os princípios da gestão acadêmica e administrativa do Museu de Arqueologia e Etnologia (MAE) da USP?"
1586,"Quais são os critérios para a composição da Comissão de Graduação (CG) no ICMC, incluindo a qualificação dos membros docentes e a representação discente?"
1308,"Quais são os critérios avaliados na prova de arguição e no julgamento dos títulos durante o Concurso de Professor Titular na USP?"
1447,"Qual é a duração máxima permitida para a prova de argüição e julgamento do memorial em um concurso de livre-docência na USP, e quanto tempo é concedido ao candidato para responder?"
1256,"Quem pode participar das atividades do RCGI na Universidade de São Paulo e sob quais condições podem ser atribuídas bolsas de estudo aos participantes?"
1107,"Quais são as responsabilidades do órgão deliberativo do Museu Paulista em relação à gestão de pessoal docente e técnico-administrativo?"
597,"Quais são as condições sob as quais um servidor da USP não pode ser concedido licença para tratar de interesses particulares, participar de competições esportivas de amadores, ou para ter exercício em outra Instituição universitária?"
766,"Qual é o prazo máximo para o credenciamento de um coorientador no curso de doutorado direto na Universidade de São Paulo?"
1440,"Qual é a duração do mandato dos membros titulares e suplentes dos docentes na Comissão de Pós-Graduação da USP e é permitida a recondução?"
627,"Quais são os critérios para um candidato ser elegível às vagas destinadas às Políticas de Ações Afirmativas na USP, especificamente para as categorias Escola Pública (EP) e Pretos, Pardos e Indígenas (PPI)?"
1345,"Quais são os passos necessários para a divulgação dos procedimentos de avaliação de equivalência após sua aprovação pelo Conselho de Graduação na USP?"
1388,"Quem são os membros que compõem o Conselho Técnico-Administrativo da ECA-USP e quais são suas atribuições principais?"
1398,"Qual é a duração do mandato dos membros docentes e de seus suplentes na Comissão de Pós-Graduação da USP e é permitida a recondução para esses cargos?"
1585,"Quais são as atribuições do Diretor do ICMC conforme o regulamento da USP, e como ele pode delegar parte de suas responsabilidades?"
1440,"Quais são as competências do Diretor de uma Unidade na Universidade de São Paulo conforme o regulamento?"
1563,"Quais são as competências do Conselho Técnico-Administrativo (CTA) da USP conforme estabelecido no regulamento?"
599,"Quais são as condições sob as quais um servidor estável da USP pode ser dispensado de suas funções?"
696,"Quais são os critérios de avaliação para candidatos ao processo seletivo de Mestrado na USP conforme o regulamento?"
716,"Qual é o número máximo de estudantes de mestrado que um solicitante de credenciamento específico pode orientar na USP e quais são os requisitos para que este possa orientar um doutorando?"
1575,"Quais são as responsabilidades da CPG em relação à participação de professores colaboradores em disciplinas de Pós-Graduação na USP?"
835,"Em quais idiomas uma dissertação ou tese pode ser redigida e defendida na Universidade de São Paulo?"
903,"Quais são os critérios de avaliação do desempenho acadêmico e científico dos alunos em um programa de pós-graduação da USP, incluindo as atividades complementares exigidas?"
826,"Quais são os critérios de credenciamento para coorientadores na pós-graduação da USP, incluindo a possibilidade de credenciamento de profissionais não doutores?"
865,"Quais são os idiomas aceitos para comprovação de proficiência em língua estrangeira para ingresso no Doutorado na USP, e é possível validar a proficiência apresentada no Mestrado para o Doutorado?"
1537,"Quais são as etapas do concurso para provimento de cargo de Professor Doutor na USP e qual é a consequência para o candidato que obtém nota menor do que 7,0 na prova escrita?"
23,"Quem assume a presidência das Comissões Permanentes da USP na ausência do Reitor e qual é a regra para o voto de desempate nessas situações?"
43,"Qual é a finalidade da Coordenadoria da Saúde e Assistência Social (COSEAS) na Universidade de São Paulo?"
7,"Qual é o quórum necessário para propor a emenda do Estatuto da Universidade de São Paulo segundo a alteração decretada em 1987, e como ele pode ser ajustado nos dois anos subsequentes à vigência dessa alteração?"
1446,"Quais são os objetivos dos cursos da Faculdade de Filosofia, Letras e Ciências Humanas da USP?"
1377,"Como é determinado o tema da prova escrita em um concurso de livre-docência na USP, e qual é o procedimento para a escolha do tema pelo candidato?"
1365,"Quem é responsável pela elaboração dos Regimentos dos campi da Universidade de São Paulo (USP) e qual órgão deve apreciá-los após serem elaborados?"
532,"Quem tem a competência para autorizar despesas de alunos da USP em eventos ou atividades acadêmicas no exterior e qual é o limite de valor estabelecido para essas despesas?"
169,"Qual foi a alteração de regime de trabalho para o cargo de Professor Doutor 1240242 na Universidade de São Paulo, conforme a Portaria GR 7752/2022?"
1292,"Quais são as principais atividades e objetivos do Centro Observatório das Instituições Brasileiras (COI) da Universidade de São Paulo?"
623,"Quais critérios a Comissão de Graduação da USP utiliza para avaliar a compatibilidade das formações acadêmicas no processo de revalidação de diplomas estrangeiros?"
886,"Qual é o formato final exigido para a entrega eletrônica de dissertações ou teses na USP e onde deve ser realizado o depósito deste arquivo?"
1483,"Qual é o prazo mínimo de divulgação dos editais para seleção de monitores pelos Departamentos na USP?"
1461,"Qual é a duração de uma monitoria na USP e é possível um aluno ser reconduzido a essa função?"
452,"Quando foi revogada a Portaria GR nº 6664/2015, que tratava da criação da Comissão de Planejamento Acadêmico do Campus USP de São Carlos?"
1421,"Quais são as responsabilidades da Comissão de Pesquisa de uma Faculdade na USP?"
1434,"Quais são os critérios para a eleição do Presidente e seu suplente da Comissão de Cultura e Extensão Universitária (CCEx) na USP, e qual é a duração do mandato?"
1312,"Quais são as responsabilidades dos Conselhos dos Departamentos da USP em relação aos laboratórios e serviços do departamento, conforme o regimento?"
1573,"Quem pode ser eleito como representantes discentes na Comissão de Pós-Graduação (CPG) da Universidade de São Paulo (USP) e quais são as condições para sua eleição e recondução?"
906,"Quais são os critérios para o credenciamento e recredenciamento de disciplinas na USP, incluindo aquelas que são não presenciais ou semipresenciais?"
686,"Qual é o número máximo de pontos que podem ser atribuídos pela organização de um livro para fins de credenciamento na USP?"
447,"Quais são as responsabilidades do Comitê de Governança relacionadas ao gerenciamento de pesquisas científicas e ações de inovação na USP?"
1265,"Qual órgão anexo foi integrado à Faculdade de Zootecnia e Engenharia de Alimentos da USP segundo a alteração feita pela Resolução 8016/2020?"
1392,"Quando foi oficialmente desmembrada a Faculdade de Odontologia da Faculdade de Farmácia e Odontologia na Universidade de São Paulo?"
816,"Qual é o prazo máximo para um aluno de Mestrado se inscrever no exame de qualificação na USP e quantos créditos ele deve ter completado para se inscrever?"
48,"Qual é o critério de aprovação de um aluno em uma disciplina na USP em termos de nota final e frequência mínima exigida?"
680,"Quais são as etapas eliminatórias do processo de seleção para ingresso no Programa de Pós-Graduação em Letras (Teoria Literária e Literatura Comparada) na USP, tanto para Mestrado quanto para Doutorado?"
1472,"Quais são as finalidades da Faculdade de Direito de Ribeirão Preto da Universidade de São Paulo conforme seu regimento?"
